source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
"M-TP,Pepsi",Pepsi,2019-07-18 16:03:34,"Đà Nẵng ơiiii, Mau mau tham gia sự kiện cùng Pepsi để sở hữu những tấm vé SKY TOUR ngay nhé!!! 👏👏👏 Mọi người nhớ đọc kỹ cách thức tham gia & thể lệ ở bài đăng bên dưới nhé 💛💛💛 Hẹn gặp mọi người tại SKY TOURRRRRR 🎶🎶🎶 #UongPepsiGapSonTungMTP #Pepsi #SonTungMTP #SkyTour2019NHẬN NGAY HÀNG NGÀN VÉ SKY TOUR 2019 TẠI ĐÀ NẴNG!!! Sky Đà Nẵng ơi, Pepsi đã mang vé Sky Tour đến Đà Nẵng rồi đây!!! Từ ngày 20/7, bạn sẽ nhận ngay 1 vé Sky Tour 2019 hạng GA tại Đà Nẵng cùng áo thun Sơn Tùng M-TP khi mua sản phẩm Pepsi tại các địa điểm diễn ra chương trình. Lưu ý nhỏ là mỗi địa điểm sẽ có một thể lệ đổi vé nhất định. Các bạn nhớ đọc kỹ thông tin để săn vé thuận lợi nhé. Danh sách các địa điểm và thời gian diễn ra chương trình:  1. Siêu thị Lotte Mart Đà Nẵng: Số 6 Nại Nam, P. Hòa Cường Bắc, Q. Hải Châu, Đà Nẵng. Thời gian khuyến mãi: 20/7 - 21/7 (hoặc đến khi hết vé hoặc áo thun) Thể lệ đổi vé:  - Nhận ngay 1 vé GA với mỗi hóa đơn có 200.000 đồng sản phẩm Pepsi (*) - Nhận ngay 1 áo thun Sơn Tùng M-TP với mỗi hóa đơn có 50.000 đồng sản phẩm Pepsi (*)  (*) Sản phẩm Pepsi áp dụng: Pepsi lon 330ml, Pepsi Light lon 330ml, Pepsi chai nhựa 390ml, Pepsi chai nhựa 1.5L  2. Siêu thị VinMart Đà Nẵng: Tầng 2, TTTM Vincom, đường Ngô Quyền, P. An Hải Bắc, Q. Sơn Trà, Đà Nẵng. Thời gian khuyến mãi: 20/7 - 21/7 (hoặc đến khi hết vé hoặc áo thun) Thể lệ đổi vé:  - Nhận ngay 1 vé GA với mỗi hóa đơn có 200.000 đồng sản phẩm Pepsi (*) - Nhận ngay 1 áo thun Sơn Tùng M-TP với mỗi hóa đơn có 50.000 đồng sản phẩm Pepsi  (*) (*) Sản phẩm Pepsi áp dụng: Pepsi lon 330ml, Pepsi Light lon 330ml, Pepsi chai nhựa 390ml, Pepsi chai nhựa 1.5L  3. Siêu thị BigC: 255-257 Hùng Vương, Khu Thương Mại, Q. Thanh Khê, Đà Nẵng.  Thời gian khuyến mãi: 27/7 - 28/7 (hoặc đến khi hết vé hoặc áo thun) Thể lệ đổi vé:  - Nhận ngay 1 vé GA với mỗi hóa đơn có 200.000 đồng sản phẩm Pepsi (*) - Nhận ngay 1 áo thun Sơn Tùng M-TP với mỗi hóa đơn có 50.000 đồng sản phẩm Pepsi (*) (*) Sản phẩm Pepsi áp dụng: Pepsi lon 330ml, Pepsi Light lon 330ml, Pepsi chai nhựa 390ml, Pepsi chai nhựa 1.5L  4. Toàn bộ hệ thống Jollibee tại Đà Nẵng Thời gian khuyến mãi: từ 19/7 - 28/7 (hoặc đến khi đã đổi hết vé) Thể lệ đổi vé: Mua 04 combo với giá mỗi combo 139k (mỗi combo gồm 2 ly Pepsi) trong thời gian khuyến mãi nhận ngay 1 vé GA và áo thun Sơn Tùng M-TP  Vé sẽ được phát vào ngày 29/7 và 30/7 tại cửa hàng số 32 Tiểu La, P. Hòa Cường Bắc, Q. Hải Châu, Đà Nẵng.  5. The Pizza Company Cửa hàng 1: Tầng Trệt, CoopMart Đà Nẵng, số 478 Điện Biên Phủ, P. Thanh Khê Đông, Q. Thanh Khê, Đà Nẵng.  Cửa hàng 2: Số 173 Nguyễn Văn Thoại, P. An Hải Đông, Q. Sơn Trà, Đà Nẵng.  Thời gian khuyến mãi: 25/7, từ 10h sáng đến 10h tối (hoặc đến khi hết vé) Thể lệ đổi vé: Nhận ngay 1 vé GA và 1 áo thun Sơn Tùng M-TP với mỗi hóa đơn tối thiểu 350.000 đồng và bao gồm ít nhất 2 sản phẩm Pepsi. 6. Galaxy Cinema: Lầu 3, CoopMart Đà Nẵng, số 478 Điện Biên Phủ, P. Thanh Khê Đông, Q. Thanh Khê, Đà Nẵng. Thời gian khuyến mãi: 27/7, 10h-11h30 và 18h-20h Thể lệ đổi vé: Nhận ngay 1 vé GA và 1 áo thun Sơn Tùng M-TP khi khách hàng là thành viên của Galaxy mua 2 vé xem phim, 1 bắp và 2 Pepsi trong khung giờ quy định. 7. Lotte Cinema: Tầng 5, tòa nhà Lotte Mart, số 6 Nại Nam, P. Hòa Cường Bắc, Q. Hải Châu, Đà Nẵng. Thời gian khuyến mãi: 28/7, 10h-11h30 và 18h-20h Thể lệ đổi vé: Nhận ngay 1 vé GA và 1 áo thun Sơn Tùng M-TP khi mua Harmony Combo (1 Bắp Hamony, 2 sản phẩm Pepsi và 2 vé xem phim) trong khung thời gian quy định.  LƯU Ý: - VUI LÒNG ĐEM THEO CMND, THẺ CĂN CƯỚC HOẶC THẺ HỌC SINH/SINH VIÊN ĐỂ XÁC NHẬN THÔNG TIN KHI ĐỔI VÉ (BẮT BUỘC). - SỐ LƯỢNG VÉ CÓ HẠN. CHƯƠNG TRÌNH SẼ KẾT THÚC NGAY KHI VÉ ĐƯỢC PHÂN PHỐI HẾT.  - MỘT KHÁCH HÀNG CHỈ ĐƯỢC ĐỔI TỐI ĐA 2 VÉ TRONG TOÀN BỘ THỜI GIAN DIỄN RA CHƯƠNG TRÌNH. - CHỈ CHẤP NHẬN HÓA ĐƠN MUA HÀNG TRONG NGÀY DIỄN RA CHƯƠNG TRÌNH KHUYẾN MÃI - TRONG TRƯỜNG HỢP CÓ TRANH CHẤP XẢY RA, PEPSI SẼ LÀ NGƯỜI QUYẾT ĐỊNH CUỐI CÙNG. Số lượng vé có hạn nên hãy nhanh lên nào Sky ơi!!! Pepsi hẹn gặp các bạn ở Sky Tour Đà Nẵng ngày 4/8 nhé!!! #UongPepsiGapSonTungMTP #Pepsi #SonTungMTP #SkyTour2019",Nguyễn Arafat và 50K người khác,34K,"1,9K",13K,94,192,17,11.194 bình luậ,2834968799850138,/story.php?story_fbid=2834968799850138&id=309972372349806
"M-TP,Pepsi",Pepsi,2019-07-16 11:52:29,"Nhanh tay sở hữu cho mình những chiếc vé đi SKY TOUR cùng Pepsi nào mọi người ơi 🎶🎶🎶 Cách thức & thể lệ tham gia có ở bài đăng bên dưới, mọi người nhớ đọc kỹ nhé!!! ✨✨✨ Hẹn gặp tất cả tại SKY TOURRRRRRRR 💋💋 #UongPepsiGapSonTungMTP #Pepsi #SonTungMTP #SkyTour2019UỐNG PEPSI ĐI SKY TOUR!!! Sky TP.HCM ơi, hãy cùng Pepsi săn vé Sky Tour nào!!! Từ ngày 17.07, khi mua 1 thùng Pepsi lon 330ml và làm theo hướng dẫn tại các cửa hàng diễn ra chương trình, bạn sẽ có ngay cơ hội sở hữu tấm vé Sky Tour 2019 hạng GA tại TP.HCM cùng áo thun Sơn Tùng M-TP cực chất!!! (*) Thời gian và danh sách cửa hàng tham gia chương trình:  - 17.07.2019: 7-Eleven Vinhomes Central Park SH.06 (Shophouse) Tòa Central 1 Vinhomes Central Park, 720A Điện Biên Phủ, Q. Bình Thạnh - 18.07.2019: 7-Eleven Nguyễn Lương Bằng Phòng 02 thuộc tầng trệt tòa nhà Broadway, số 100 đường Nguyễn Lương Bằng, P. Tân Phú, Q.7 - 19.07.2019: Circle K Lê Thánh Tôn 165-167 Lê Thánh Tôn, Q.1 - 20.07.2019:  Cửa hàng 1: Circle K Nguyễn Huệ: 43 Nguyễn Huệ, Q.1 Cửa hàng 2: Circle K Nguyễn Huệ: 82 Nguyễn Huệ, Q.1 - 22.07.2019: Family Mart Quốc Hương 16 Quốc Hương, P.Thảo Điền, Q.2 - 23.07.2019:  Cửa hàng 1: Family Mart Cô Bắc: 210B/1 Cô Bắc, P.Cô Giang, Q.1 Cửa hàng 2: Family Mart Võ Văn Tần: 60B Võ Văn Tần , P.6, Q.3 - 24.07.2019: GS25 Sunrise City View Sunrise City View, số 33 Nguyễn Hữu Thọ, P. Tân Hưng, Q.7 - 25.07.2019: GS25 Bà Hạt 172 Bà Hạt, P.9, Q.10 (*) LƯU Ý:  - VUI LÒNG ĐEM THEO CMND, THẺ CĂN CƯỚC HOẶC THẺ HỌC SINH/SINH VIÊN ĐỂ XÁC NHẬN THÔNG TIN KHI ĐỔI VÉ (BẮT BUỘC).  - SỐ LƯỢNG VÉ CÓ HẠN TẠI MỖI CỬA HÀNG MỖI NGÀY. CHƯƠNG TRÌNH SẼ KẾT THÚC NGAY KHI VÉ ĐƯỢC PHÂN PHỐI HẾT.  - MỘT KHÁCH HÀNG CHỈ ĐƯỢC ĐỔI TỐI ĐA 2 VÉ TRONG TOÀN BỘ THỜI GIAN DIỄN RA CHƯƠNG TRÌNH. - THỜI GIAN MỞ BÁN TỪ 9H SÁNG MỖI NGÀY.  - THỜI GIAN ĐỔI VÉ TỪ 11H ĐẾN 12H, KHÔNG GIẢI QUYẾT CÁC TRƯỜNG HỢP ĐỔI VÉ NGOÀI KHUNG GIỜ TRÊN. - CHỈ CHẤP NHẬN HÓA ĐƠN MUA HÀNG TRONG NGÀY. - TRONG TRƯỜNG HỢP CÓ TRANH CHẤP XẢY RA, PEPSI SẼ LÀ NGƯỜI QUYẾT ĐỊNH CUỐI CÙNG.  Bạn nhớ đọc kỹ hướng dẫn để quá trình săn vé thêm thuận lợi nhé. Chờ đợi gì mà không bắt lấy ngay cơ hội siêu hấp dẫn này các Sky ơi! Hãy cùng bật nắp Pepsi cực sảng khoái và “quẩy” hết mình tại Sky Tour!!! P.S: Các bạn Sky Đà Nẵng và Hà Nội đừng sốt ruột quá nhé. Theo dõi Fanpage Pepsi Việt Nam thường xuyên để cập nhật ngay tin hot dành riêng cho các bạn nè! #UongPepsiGapSonTungMTP #Pepsi #SonTungMTP #SkyTour2019",Nguyễn Arafat và 47K người khác,32K,2K,12K,79,243,11,9.801 bình luậ,2830880893592262,/story.php?story_fbid=2830880893592262&id=309972372349806
M-TP,,2019-07-17 14:12:36,Thật tuyệt vời .... !!!! 100.000.000 views on youtube !!!!!!! Cảm ơn mọi người rất nhiều !!!!! ❤️❤️❤️ Và đừng quên tiếp tục ủng hộ cho Hãy Trao Cho Anh nhoaaaaaa https://youtu.be/knW7-x7Y7RE,M-TP và 204K người khác,147K,"5,6K",50K,696,72,31,33.960 bình luậ,2830170983663253,/story.php?story_fbid=2830170983663253&id=309972372349806
M-TP,,2019-07-14 09:49:06,Keep moving forward !!! ❤️❤️❤️ Cảm ơn mọi người rất nhiềuuuuuuu Tiếp tục ủng hộ cho Hãy Trao Cho Anh nhoé  🖐🏻🖐🏻🖐🏻 https://youtu.be/knW7-x7Y7RE,M-TP và 153K người khác,112K,"3,7K",36K,397,48,28,24.507 bình luậ,2824014614278890,/story.php?story_fbid=2824014614278890&id=309972372349806
M-TP,,2019-07-13 21:15:26,"Skyyy ơi, Trời đổ nắng hè rồi, GO-PARTY thôiiiii! Cả nhà mình đã có kế hoạch gì cho một bữa tiệc hoàng tráng tại gia chưa nè? Tùng có một gợi ý cho mọi người đây: Rủ rê đồng bọn đi GO-VIET đến ngay điểm tập kết vừa nhanh vừa tiện, và order GO-FOOD với đủ đầy các món ngon về nhà cùng ""chill"" thôi nàoooo. Let's do it! Đừng quên truy cập https://g-v.vn/GiveItToMe và trải nghiệm tiệc hè cùng Tùng với GO-VIET nhá! #GOVIET #GOFOOD #GOSummer #GOParty #TraoTatCaNhungGiBanCan #HayTraoChoAnh #GiveItToMe #SONTUNGMTP",Nguyễn Arafat và 73K người khác,51K,"3,5K",18K,73,53,16,12.954 bình luậ,2822940904386261,/story.php?story_fbid=2822940904386261&id=309972372349806
M-TP,,2019-07-12 20:00:01,HÃY TRAO CHO ANH | BEHIND THE SCENES 🎥🎥🎥 Tùng và ekip sẽ luôn nhớ mãi những khoảnh khắc này 💛💛💛 Thanks all so much!!! 👏👏👏 #HayTraoChoAnh #GiveItToMe #BehindTheScenes #SonTungMTP #SnoopDogg #MTPEntertainment,M-TP và 71K người khác,49K,"2,2K",19K,108,22,9,15.474 bình luậ,2820826467931038,/story.php?story_fbid=2820826467931038&id=309972372349806
M-TP,,2019-07-11 10:58:25,80.000.000 views on youtube  Tuyệt vờiiii .... Cảm ơn mọi người rất nhiều ... Và đừng quên tiếp tục ủng hộ cho Hãy Trao Cho Anh nhoé người ơiiiii https://youtu.be/knW7-x7Y7RE  🌻🌻🌻🌻🌻🌻,M-TP và 173K người khác,127K,"4,4K",40K,532,76,30,34.295 bình luậ,2817965491550469,/story.php?story_fbid=2817965491550469&id=309972372349806
M-TP,,2019-07-10 22:20:20,"Nơi dừng chân đầu tiên là Sài Gòn nhoé !!!!!!! Cánh tayyy của mọi người đâu hết rồi nàoooo ??? 🖐🏻🖐🏻🖐🏻🖐🏻🖐🏻🖐🏻 Và đừng quên tải ngay ứng dụng VinID để sẵn sàng đặt mua vé sẽ mở bán vào 00h00 đêm nay nhé!!! 🥂🥂🥂 Tải & cài đặt ứng dụng VinID 👉 https://id.vin/WoK Thông tin chi tiết, truy cập 👉 https://skytour.mtpentertainment.com #SONTUNGMTP #VINID #MTPEntertainment #SkyTour",Thảo Phạm và 91K người khác,67K,2K,21K,230,548,13,13.214 bình luậ,2816860588327626,/story.php?story_fbid=2816860588327626&id=309972372349806
M-TP,,2019-07-10 15:05:19,"Are you ready for Sky Tour ?????!! Gặp nhau gặp nhau thôi nàooooo ❤️❤️❤️ Và đừng quên tải ngay ứng dụng VinID để sẵn sàng đặt mua vé sẽ mở bán vào 00h00 đêm nay nhé!!! 🥂🥂🥂 Tải & cài đặt ứng dụng VinID 👉 https://id.vin/WoK Thông tin chi tiết, truy cập 👉 https://skytour.mtpentertainment.com #SONTUNGMTP #VINID #MTPEntertainment #SkyTour",M-TP và 130K người khác,93K,"3,5K",33K,287,246,16,19.740 bình luậ,2816137928399892,/story.php?story_fbid=2816137928399892&id=309972372349806
M-TP,,2019-07-10 13:24:51,"Mọi người đã sẵn sàng cho Sky Tour 2019 chưa nào?!?! 🔥🔥🔥 OFFICIAL TRAILER ở ngay dưới đây nhé!!! ❤❤❤ Và đừng quên tải ngay ứng dụng VinID để sẵn sàng đặt mua vé sẽ mở bán vào 00h00 đêm nay nhé!!! 🥂 Tải & cài đặt ứng dụng VinID 👉 https://id.vin/WoK Thông tin chi tiết, truy cập 👉 https://skytour.mtpentertainment.com #SONTUNGMTP #VINID #MTPEntertainment #SkyTour",M-TP và 81K người khác,56K,2K,21K,209,296,12,12.102 bình luậ,2816001695080182,/story.php?story_fbid=2816001695080182&id=309972372349806
M-TP,,2019-07-08 22:34:20,70.000.000 views on youtube  Tuyệt vờiiii .... Cảm ơn mọi người rất nhiều ... Và đừng quên tiếp tục ủng hộ cho Hãy Trao Cho Anh nhoé người ơiiiii https://youtu.be/knW7-x7Y7RE  🌻🌻🌻🌻🌻🌻,M-TP và 208K người khác,154K,"5,1K",48K,623,66,31,28.754 bình luậ,2812691755411176,/story.php?story_fbid=2812691755411176&id=309972372349806
