source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2020-01-01 13:05:00,2020 ..... !!!! 🌻🌻🌻 Một đêm tuyệt vời ... Cảm ơn Sài Gòn đã luôn yêu thương tấm thân nhỏ bé này ...... 🍾🍾🍾 Chúc mừng năm mới nhé bà con ơiiiiii !!! 🥂🥂🥂,M-TP và 214K người khác,146K,"3,3K",63K,185,97,19,16.777 bình luậ,3203237499689931,/story.php?story_fbid=3203237499689931&id=309972372349806
M-TP,,2019-12-29 12:53:04,Hải Phòng .... 🌻🌻🌻 Cảm ơn vì đã cùng Tùng đốt cháy mùa đông đêm quaaaaaaa .... 🙏🙏🙏,M-TP và 172K người khác,114K,"2,9K",54K,205,123,14,15.534 bình luậ,3195724613774553,/story.php?story_fbid=3195724613774553&id=309972372349806
M-TP,,2019-12-28 12:39:32,Let’s take a look back at a few beautiful moments at the Cuc Im Lang exhibition last night....!! The atmosphere of the exhibition was so marvelous and￼ brought me a lot of different magical emotions I want to say thanks to Cong Tri for inviting me  🙏🙏🙏Cùng xem lại vài khoảnh khắc đẹp tại triển lãm Cúc Im Lang tối qua nhé....!! Bầu không khí của triển lãm thật tuyệt vời và￼ mang đến cho tôi rất nhiều cảm xúc kỳ diệu khác nhau Tôi muốn gửi lời cảm ơn đến Công Trí vì đã mời tôi 🙏🙏🙏 ,M-TP và 137K người khác,94K,"2,3K",39K,156,50,7,12.090 bình luậ,3193394777340870,/story.php?story_fbid=3193394777340870&id=309972372349806
M-TP,,2019-12-25 12:27:44,My Christmas last night !!!!!! 🌻🌻🌻 I hope that the people who received my gifts will keep them carefully￼ and show me if we have a chance to meet again in the near future ... !!! I always treasure every￼ moment when I’m with you guys￼ ... Remember that you guys are one of the greatest motivations in my life to make me move forward tirelessly￼￼ .....  🙏🙏🙏 Love you !!! 💋💋💋Giáng sinh của tôi tối qua !!!!!  🌻🌻🌻  Mong rằng những người nhận được quà của tôi sẽ giữ cẩn thận￼ và cho tôi xem nếu chúng ta có cơ hội gặp lại nhau trong tương lai gần...!!! Tôi luôn trân trọng khoảnh khắc khi tôi ở bên các bạn￼..  Hãy nhớ rằng các bạn là một trong những động lực lớn nhất trong cuộc đời tôi để làm cho tôi tiến về phía trước không mệt mỏi..... 🙏🙏🙏 Yêu các bạn!!  💋💋💋 ,M-TP và 316K người khác,216K,"6,8K",93K,532,237,42,22.324 bình luậ,3186332374713777,/story.php?story_fbid=3186332374713777&id=309972372349806
M-TP,,2019-12-23 12:07:26,"There was a boy in green who arrived in Can Tho last night￼  😂😂😂 Thanks for coming and showing me how much you guys love me 🌻🌻🌻 Our love for each other is always like the first day￼ , right ???? ❤️❤️❤️Có một cậu bé màu xanh lá cây đã đến Cần Thơ đêm qua 😂😂😂 Cảm ơn vì đã đến và cho tôi thấy các bạn yêu tôi nhiều đến nhường nào 🌻🌻🌻 Tình yêu của chúng ta dành cho nhau lúc nào cũng như ngày￼ đầu tiên, phải không???? ❤️❤️❤️",M-TP và 205K người khác,138K,"4,3K",62K,251,154,21,19.828 bình luậ,3181568611856820,/story.php?story_fbid=3181568611856820&id=309972372349806
M-TP,,2019-12-18 13:30:35,Một ngày thật sự tuyệt vời !!!! Xin được lưu lại kế hoạch trong năm 2020 của Sơn Tùng M-TP đồng thời của công ty M-TP entertainment ở đây ... Hãy cùng nhau nhìn lại để nhớ và chuẩn bị mở từng gói quà nhé đại gia đình của tôi .... ! 🌻🌻🌻 - Mạng xã hội SKY SOCIAL - Khai trương quán Cafe M-TP and Friends - Phát hành album CHÚNG TA - 3 bài hát sẽ được ra mắt lần lượt với 3 thể loại nhạc khác nhau hoàn toàn ( sẽ cố gắng nhiều hơn con số đó ) - Tổ chức SKY TOUR 2020 - Ra mắt thương hiệu thời trang PLUSEIGHTYFOUR  - Tổ chức M-TP Year End Concert 🍾🍾🍾 Cùng nhau viết lên thật nhiều những kỉ niệm đẹp trong tương lai nào .... ❤️❤️❤️ I LOVE YOU,M-TP và 255K người khác,178K,"3,8K",72K,716,113,47,25.108 bình luậ,3170064353007246,/story.php?story_fbid=3170064353007246&id=309972372349806
M-TP,,2019-12-16 20:00:06,"AI LÀ ""NGON SỐ 1"" NÀO??? 💋💋💋 Cùng Sơn Tùng M-TP “quẩy tung vỉ” với vũ đạo “cuốn rau thêm thịt” ngay nhé!! 🥩🥩🥩  #SonTungMTP #Anhlangonso1  #GoGiHouse #Ngonso1 #GoGiNgonso1",M-TP và 160K người khác,111K,10K,38K,312,134,39,12.845 bình luậ,3165888413424840,/story.php?story_fbid=3165888413424840&id=309972372349806
M-TP,,2019-12-16 13:13:50,Đêm qua âu vờ laiiiiiiiiii Quá tuyệt vờiiiiiiiiiiiiiiiiiiii SAI GON is always sexy￼ in its way !!!!! 💋💋💋,M-TP và 244K người khác,170K,"5,6K",68K,391,218,34,20.416 bình luậ,3165323160148032,/story.php?story_fbid=3165323160148032&id=309972372349806
M-TP,,2019-12-15 13:26:52,Một đêm tuyệt vời !!!!!! Cảm ơn rất nhìuuuuuuuuu 🌻🌻🌻,M-TP và 150K người khác,101K,"2,7K",46K,159,97,20,15.683 bình luậ,3162976767049338,/story.php?story_fbid=3162976767049338&id=309972372349806
M-TP,,2019-12-15 00:00:08,"Cho dù bạn là ai, cho dù bạn ở đâu, gia đình sẽ luôn là nguồn động lực quý giá, luôn tin tưởng và ủng hộ bạn. Tết này về nhà cùng OPPO với Tùng nhé! Về nhà, về với những tình cảm luôn dõi theo ta. #venhacungOPPO",M-TP và 179K người khác,124K,"4,6K",50K,197,310,25,11.647 bình luậ,3160448197302195,/story.php?story_fbid=3160448197302195&id=309972372349806
M-TP,,2019-12-12 20:00:09,Nguồn động lực luôn thôi thúc bạn cố gắng mỗi ngày là gì? Có khi nào bạn nhìn lại chặng đường đã qua đầy hối tiếc hay không? Hãy cùng chờ đón sự kết hợp mới nhất giữa OPPO và Sơn Tùng M-TP để giải đáp những câu hỏi này nhé.,M-TP và 140K người khác,91K,"2,9K",45K,277,175,17,14.760 bình luậ,3156049824408699,/story.php?story_fbid=3156049824408699&id=309972372349806
M-TP,,2019-12-11 11:03:47,"Chào tất cả mọi người ! Tùng muốn chia sẻ với mọi người rằng ngày 18/12 sắp tới sẽ là ngày M-TP Entertainment tổ chức họp báo công bố chiến lược phát triển của công ty, cũng như kế hoạch ra mắt sản phẩm mới của Sơn Tùng M-TP trong năm 2020. Sự kiện họp báo này sẽ được livestream trên fanpage M-TP Entertainment và kênh YouTube Sơn Tùng M-TP official .... Mọi người cùng đón chờ và theo dõi sự kiện này nhé!!! 🥂🥂🥂 ❤❤❤ Love you so much .... #sontungmtp #mtpentertainment",M-TP và 128K người khác,94K,"1,8K",29K,"2,8K",77,12,12.243 bình luậ,3153276598019355,/story.php?story_fbid=3153276598019355&id=309972372349806
M-TP,,2019-12-02 21:02:02,Singing in the rain￼ !!! 🌻🌻🌻Đang hát trong mưa!!! 🌻🌻🌻 ,M-TP và 630K người khác,391K,9K,226K,"1,5K","2,4K",119,44.271 bình luậ,3131631420183873,/story.php?story_fbid=3131631420183873&id=309972372349806
M-TP,,2019-11-29 20:28:59,Hi vọng rằng đây sẽ là một sự hợp tác đầy thú vị giữa M-TP Entertainment và luxstay ... Cũng là cơ hội để giúp cho giấc mơ của những người Việt được bay cao và bay xa hơn .... 🌻🌻🌻 🍾🍾🍾 🥂🥂🥂,Trường Sơn và 240K người khác,171K,"4,4K",63K,921,107,32,27.067 bình luậ,3123906710956344,/story.php?story_fbid=3123906710956344&id=309972372349806
M-TP,,2019-11-25 20:41:12,25/11/2019 Chúc mừng sinh nhật đại gia đình SKY của Tùnnnn ❤️❤️❤️ Ngày xưa thì nói rằng đã yêu thì không cần phải nói ra nhưng giờ chợt nhận ra mình nên nói những lời yêu thương với nhau thật nhiều thật nhiềuuuuuuu Vì đâu biết ngày mai sẽ ra saoooo ??? 🌻🌻🌻 Chỉ mong rằng ngày nào còn ở bên nhau thì sẽ là những ngày tuyệt vời nhất trong quãng đời tuổi trẻ của chúng ta ....... !!!!!! 🥂🥂🥂 Hãy cùng nhau viết lên thật nhiều những kỉ niệm tuyệt vời nhé ..... 🤝🤝🤝 Mãi yêuuuuuuu !!!!! 🙏🙏🙏 Once again￼ ... Happy birthday to my sky￼ !!!! 🍾🍾🍾,M-TP và 377K người khác,256K,12K,108K,500,307,191,29.777 bình luậ,3114042771942738,/story.php?story_fbid=3114042771942738&id=309972372349806
M-TP,,2019-11-24 13:43:11,Đêm quaaaaa .... Tuyệt vờiiiiiii 🍾🍾🍾,M-TP và 135K người khác,90K,"2,7K",41K,191,71,19,16.918 bình luậ,3110649495615399,/story.php?story_fbid=3110649495615399&id=309972372349806
M-TP,,2019-11-22 20:00:04,"Sau 1 tuần ra mắt, Tùng vô cùng hạnh phúc khi trò chơi âm nhạc TAPTAP: SƠN TÙNG M-TP vẫn luôn nhận được sự yêu thương tuyệt vời từ mọi người ❤️❤️❤️ Cảm ơn cả nhà rất rất nhiềuuuuuuuuu...!!! 💋💋💋 Tiếp tục chơi TAPTAP: SƠN TÙNG M-TP ngay nào!!! 💪 Tải TAPTAP: SƠN TÙNG M-TP tại 👇 🎶 App Store: https://apple.co/2O7fpxB 🎶 Google Play: http://bit.ly/2KjoRg6 #SonTungMTP #MTPEntertainment #TapTapSonTungMTP",Nguyễn Arafat và 147K người khác,102K,4K,41K,169,86,33,15.055 bình luậ,3105974656082883,/story.php?story_fbid=3105974656082883&id=309972372349806
M-TP,,2019-11-17 20:51:45,🌻🌻🌻 📷📷📷 Guess where I was !!,M-TP và 168K người khác,108K,"9,1K",50K,416,178,46,20.881 bình luậ,3094519053895110,/story.php?story_fbid=3094519053895110&id=309972372349806
M-TP,,2019-11-15 13:15:06,Đêm quaaa tuyệt vờiiiiiiii 🍾🍾🍾,M-TP và 166K người khác,118K,"3,8K",44K,221,86,29,18.114 bình luậ,3088906574456358,/story.php?story_fbid=3088906574456358&id=309972372349806
M-TP,,2019-11-14 15:31:15,Đừng quên chúng ta có hẹn chơi game TAPTAP: SON TUNG M-TP cùng nhau vào ngày 16/11 đến nhé mọi người ơi…!!! 💋💋💋 TAPTAP: SON TUNG M-TP sẽ được phát hành trên cả 2 nền tảng App Store và Google Play nhé!!! 🎶 #SonTungMTP #MTPEntertainment #TapTapSonTungMTP,M-TP và 134K người khác,91K,"4,6K",38K,258,94,30,14.129 bình luậ,3086695834677432,/story.php?story_fbid=3086695834677432&id=309972372349806
M-TP,,2019-11-12 20:00:17,"Hello cả nhà thương yêu…, Mọi người vẫn nghe nhạc của Sơn Tùng M-TP đều đều đấy chứ??? 🎶 Vừa nghe nhạc này, vừa xem MV này, mà còn được chơi game trên nền những ca khúc của Tùng thì còn gì tuyệt vời hơn, phải không nào?!?! ✨ Vậy thì cùng đón chờ game âm nhạc TAPTAP: SON TUNG M-TP trên cả App Store và Google Play vào ngày 16/11 tới nhé!!!!!!!!!  Love youuuuuuuuuuuu…!!! 💋💋💋 #SonTungMTP #MTPEntertainment #TapTapSonTungMTP",M-TP và 88K người khác,60K,3K,24K,483,51,17,12.657 bình luậ,3082261155120900,/story.php?story_fbid=3082261155120900&id=309972372349806
M-TP,,2019-11-11 11:40:46,Lại một đêm rực cháyyyyyyyyy 🍾🍾🍾🍾🍾🍾🍾 🐿🐿🐿,M-TP và 132K người khác,90K,"2,7K",39K,178,73,22,17.348 bình luậ,3078895565457459,/story.php?story_fbid=3078895565457459&id=309972372349806
M-TP,,2019-11-10 12:04:30,What an amazing night￼ !!!!! Let’s see the most memorable moments last night￼ 🍾🍾🍾,M-TP và 252K người khác,176K,"4,1K",71K,616,166,36,25.800 bình luậ,3076227332390949,/story.php?story_fbid=3076227332390949&id=309972372349806
M-TP,,2019-11-09 20:00:22,Đừng quên cuộc hẹn với Tùng tại Lazada Supershow Yêu Sale Đậm vào ngày 10/11 đến nhé!!! ✨ Sẽ có vô vàn những vouchers giá trị đang chờ đón bạn tại sự kiện lần này!👏 Sự kiện sẽ được livestream trên ứng dụng Lazada tại https://lzd.co/sontungsupershow1011  Đừng quên tải ứng dụng Lazada để xem buổi livestream Supershow và săn deal trong ngày Yêu Sale Đậm 11.11 nhé! Hẹn gặp tất cả mọi người tại Lazada Supershowwww!!! 💋💋💋,Nguyễn Arafat và 59K người khác,40K,"1,8K",16K,118,63,8,8.043 bình luậ,3074167505930265,/story.php?story_fbid=3074167505930265&id=309972372349806
M-TP,,2019-11-08 12:48:46,"M-TP ... !!! We have been together for 3 years , The journey is neither too long nor too short but it’s enough to understand each other and love the spirit of the company ..... Trust me ... Once you decide to work here that decision is always the best one ....  A place like a second home , a place where contains a lot of love and emotion .... No selfishness... No jealousy ....  That’s why that place is outstanding and different from other places ... Each face in these 2 pictures has left me with many wonderful things, I will keep those forever... Even though nothing is forever and￼ We don’t know what will happen tomorrow BUT As long as we are still together,those days will be the greatest days !!!! Thanks for becoming a part of my life ...  Cảm ơn vì đã là một phần trong cuộc sống của tôi !!! M-TP trong trái tim tất cả các bạn là gì ???? Còn M-TP trong tôi là tất cả các bạn !!!! Let’s celebrate the 3rd anniversary of the founding of M-TP Entertainment .... !!! #MTPentertainment 🍾🍾🍾",M-TP và 180K người khác,133K,"2,8K",43K,187,61,15,16.410 bình luậ,3071286186218397,/story.php?story_fbid=3071286186218397&id=309972372349806
M-TP,,2019-11-07 18:19:31,Please allow me to announce that ..A special day of my company (M-TP Entertainment) is coming .... You don’t know how meaningful that day is to me I’m really extremely happy nowwwww 🍾🍾🍾🍾Xin cho phép mình thông báp ..Một ngày đặc biệt của công ty của mình (M-TP Entertainment) sắp đến .... Các bạn không thể biết được ngày đó có ý nghĩa với mình như thế nào đâu Bây giờ mình quá vui luôn 🍾🍾🍾🍾,M-TP và 117K người khác,73K,"6,4K",38K,200,123,25,19.203 bình luậ,3069401523073530,/story.php?story_fbid=3069401523073530&id=309972372349806
M-TP,,2019-11-03 14:29:51,Đêm quaaaaaa .... Cảm ơn Hà Nội !!!!! ❤️❤️❤️,M-TP và 179K người khác,125K,4K,49K,259,115,31,25.573 bình luậ,3060014347345581,/story.php?story_fbid=3060014347345581&id=309972372349806
M-TP,,2019-10-27 14:12:30,🍾🍾🍾 Hà Nội đêm quaaaaaaa !!!! 🤝🤝🤝,M-TP và 338K người khác,249K,"6,3K",81K,719,268,52,35.126 bình luậ,3043788965634786,/story.php?story_fbid=3043788965634786&id=309972372349806
M-TP,,2019-10-17 19:58:03,Đêm qua với sân khấu vô cùng ấn tượng tại Sự kiện ra mắt Reno2 | Reno2 F của OPPO  ❤️❤️❤️ Nhanh tay sở hữu ngay Reno2 cùng Tùng nhé mọi người ơiiiiiii 💋💋💋  http://bit.ly/OPPOReno2Series_Preorder #Reno2 #Reno2F #4Camera #ĐaChiềuSángTạo,M-TP và 152K người khác,103K,"3,2K",45K,231,83,25,29.203 bình luậ,3019298651417151,/story.php?story_fbid=3019298651417151&id=309972372349806
M-TP,,2019-10-07 14:49:24,Last night !!!!!! 🍾🍾🍾 🥂🥂🥂,M-TP và 171K người khác,120K,4K,46K,260,126,27,23.925 bình luậ,2996397310373952,/story.php?story_fbid=2996397310373952&id=309972372349806
M-TP,,2019-10-06 22:40:14,Gụt láiiiiii !!!!! 🌘🌘🌘,M-TP và 475K người khác,360K,18K,94K,831,762,200,32.305 bình luậ,2994757357204614,/story.php?story_fbid=2994757357204614&id=309972372349806
M-TP,,2019-10-06 11:46:02,Đêm quaaaaaaaaaa ❤️❤️❤️,M-TP và 168K người khác,114K,4K,49K,304,135,29,20.294 bình luậ,2993608443986172,/story.php?story_fbid=2993608443986172&id=309972372349806
M-TP,,2019-10-06 00:00:03,Các Sky có nhận ra mình trong chiếc video này khôngggg? Hòa vào không khí Party sôi động với Sơn Tùng M-TP và OPPO Reno2 Series để sáng tạo ra câu chuyện cho chính mình nhé!!!! #Reno2 #Reno2F #4camera #ĐaChiềuSángTạo,M-TP và 126K người khác,89K,"5,3K",31K,250,95,26,12.317 bình luậ,2992357844111232,/story.php?story_fbid=2992357844111232&id=309972372349806
M-TP,,2019-10-03 20:31:30,Muốn thành công thì phải có sự chuẩn bị. Và sự chuẩn bị của Tùng bắt đầu từ một đêm ngon giấc. 🙏 Hãy cùng xem bí quyết của Tùng là gì nhé!!! 😎 #SonTungMTP #MTPEntertainment #OTiV,M-TP và 266K người khác,183K,33K,47K,788,443,80,23.247 bình luậ,2987289191284764,/story.php?story_fbid=2987289191284764&id=309972372349806
M-TP,,2019-09-30 14:32:15,Hà Nội luôn tuyệt vời !!!!!! ❤️❤️❤️ 🍾🍾🍾 Chân thành cảm ơn ......,M-TP và 156K người khác,107K,"3,1K",46K,184,141,25,21.611 bình luậ,2980529898627360,/story.php?story_fbid=2980529898627360&id=309972372349806
M-TP,,2019-09-22 11:33:11,"Just need to step through this magical door, we can go wherever we want 🤫🤫🤫 😆😆😆 Eventually, I could turn around time to visit my best friends...  #japan #doraemon #nobitaChỉ cần bước qua cánh cửa kỳ diệu này, chúng ta có thể đi bất cứ nơi nào chúng ta muốn  🤫🤫🤫  😆😆😆  Cuối cùng, tôi đã có thể quay ngược thời gian để ghé thăm những người bạn thân nhất của mình... #japan #doraemon #nobita",Trường Sơn và 247K người khác,173K,10K,62K,465,154,36,29.016 bình luậ,2963211300359220,/story.php?story_fbid=2963211300359220&id=309972372349806
source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
M-TP,,2020-03-03 12:00:00,"Hãy khui theo Tùng nào Skyyyy ơi!!! Ai khui thì giơ tay 🖐 👉 Đếm ngược tới 0 giờ, 06/03 để khui cùng nhau nha! Hẹn giờ ngay kẻo lỡ 🤘 💬 Có ai đoán được Tùng khui gì không nào?!?! #SonTungMTP #Khui #KhuiGiVuiThe",M-TP và 117K người khác,77K,"3,6K",35K,374,100,18,12.249 bình luậ,3345948562085490,/story.php?story_fbid=3345948562085490&id=309972372349806
M-TP,,2020-03-01 11:39:48,📷📷📷 🥂🥂🥂 💋💋💋,M-TP và 456K người khác,331K,"5,2K",117K,1K,341,77,27.434 bình luậ,3341220019225011,/story.php?story_fbid=3341220019225011&id=309972372349806
